epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
76,2104.83,0.7076,1.22176,0.7609,1.12122,0,0.88281,0.91262,0.94232,0.76245,0.88281,0.91262,0.94415,0.77228,0.63149,0.94918,0.62949,1.04702,0,0.000515,0.000515,0.000515
77,2132.28,0.70871,1.17976,0.73467,1.11338,0,0.84963,0.87379,0.91876,0.75616,0.8606,0.8835,0.93505,0.76322,0.63896,0.93335,0.6346,1.05548,0,0.0004952,0.0004952,0.0004952
78,2159.71,0.69282,1.17316,0.7504,1.1272,0,0.89249,0.88658,0.94681,0.74553,0.89249,0.88658,0.95086,0.77629,0.64524,0.90133,0.52178,1.06922,0,0.0004754,0.0004754,0.0004754
79,2187.32,0.66883,1.16084,0.71127,1.0972,0,0.90523,0.8835,0.95485,0.76532,0.90523,0.8835,0.95726,0.78987,0.67094,0.90687,0.56595,1.13561,0,0.0004556,0.0004556,0.0004556
80,2214.72,0.66812,1.18396,0.70805,1.09942,0,0.90696,0.94645,0.96576,0.79705,0.91423,0.94175,0.95644,0.79138,0.5705,0.87306,0.44721,0.98322,0,0.0004358,0.0004358,0.0004358
81,2242.55,0.68925,1.17037,0.73321,1.122,0,0.88027,0.928,0.94804,0.76656,0.86201,0.90979,0.92796,0.77362,0.61013,0.91316,0.46756,1.03673,0,0.000416,0.000416,0.000416
82,2270.06,0.68443,1.13815,0.718,1.11646,0,0.9188,0.87891,0.95387,0.77052,0.9188,0.87891,0.95053,0.77753,0.60437,0.89895,0.51492,1.00795,0,0.0003962,0.0003962,0.0003962
83,2297.62,0.67328,1.14479,0.70451,1.11096,0,0.90263,0.90003,0.95073,0.77771,0.91237,0.90974,0.95317,0.78725,0.59453,0.88553,0.44941,1.01301,0,0.0003764,0.0003764,0.0003764
84,2325.21,0.66993,1.14021,0.65447,1.10013,0,0.90234,0.91262,0.94782,0.7606,0.90234,0.91262,0.95038,0.7793,0.64102,0.89802,0.45406,1.05187,0,0.0003566,0.0003566,0.0003566
85,2352.99,0.67531,1.11676,0.69667,1.10986,0,0.90275,0.90122,0.95694,0.77407,0.92824,0.87906,0.94964,0.78454,0.56875,0.90202,0.4693,0.98265,0,0.0003368,0.0003368,0.0003368
86,2380.59,0.66685,1.14801,0.6889,1.10073,0,0.93403,0.8932,0.96568,0.77554,0.93403,0.8932,0.95811,0.78794,0.61978,0.90656,0.43383,1.02455,0,0.000317,0.000317,0.000317
87,2408.08,0.65193,1.13027,0.665,1.09193,0,0.92668,0.85891,0.95854,0.78493,0.94762,0.8782,0.9548,0.7853,0.57933,0.89793,0.45873,0.99434,0,0.0002972,0.0002972,0.0002972
